"OCC_CODE","cognitive_abilities","physical_abilities","psychomotor_abilities","sensory_abilities","assisting_and_caring","cramped_work_space","fine_arts","finger_dexterity","manual_dexterity","Negotiation","Originality","Persuasion","social_perceptiveness"
"51-6091",2.57864864864865,2.00111111111111,2.936,2.31166666666667,2.04,2.3,0.6,3.12,3.25,2.12,2.12,2.12,2.62
"51-6092",2.4832972972973,1.40111111111111,2.213,1.88416666666667,1.91,1.48,1.59,3.12,2.88,2.62,3.88,2.62,2.88
"51-6093",2.39481081081081,2.31888888888889,3.025,2.41833333333333,1.89,2.34,0.12,4,3.88,2.25,3,2.5,2.5
"51-7011",2.50351351351351,2.41777777777778,3.175,2.32083333333333,1.86,2.24,0.36,3.88,3.75,2,2.75,2.25,2.38
"51-7021",2.38194594594595,2.29111111111111,2.775,2.1675,2.5,1.23,0.47,3.25,3.75,2.12,2.88,2,2.62
"51-7031",2.52918918918919,1.76666666666667,2.803,2.14833333333333,1.7,1.67,0.76,3.63,3.25,1.88,2.75,1.88,2.5
"51-7032",2.3592972972973,1.76666666666667,3.364,2.325,2.42,2.81,0.2,3.5,3.75,1.62,2.38,2,2.5
"51-7041",2.13632432432432,1.97333333333333,2.836,2.0525,1.96,2.53,0.1,3.12,3,1.62,1.75,1.62,2.25
"51-7042",2.23394594594595,2.22,3.074,2.19833333333333,1.48,2.99,0,3.25,3.25,1.38,2,1.75,2
"51-8011",2.89464864864865,0.221111111111111,2.201,2.08166666666667,2.03,1.94,0.08,2.75,2,2.75,3,2.88,3.12
"51-8012",2.9272972972973,0.904444444444444,1.75,2.0425,2.68,1.68,0,2.75,2,2.75,2.88,2.62,3
"51-8013",2.78513513513513,1.79111111111111,2.699,2.4075,2.87,2.84,0.08,3.12,3,1.62,2.75,2,2.75
"51-8021",2.88481081081081,1.69333333333333,2.586,2.30333333333333,2.43,2.75,0.06,3,3,2.12,2.12,2.12,2.12
"51-8031",3.07259459459459,1.81777777777778,2.711,2.30166666666667,3.31,2.81,0,3,3,1.88,2.5,2,2.88
"51-8091",2.70291891891892,1.91666666666667,2.774,2.38416666666667,1.41,3.34,0.01,3.12,3,2.12,2.12,2.12,2.62
"51-8092",2.834,1.58555555555556,2.865,2.65916666666667,2.8,3.2,0,3,2.75,2.62,2.5,2.5,2.62
"51-8093",2.99221621621622,2.01666666666667,2.928,2.7325,2.68,3.23,0.07,2.88,3,2.5,2.63,2.38,2.62
"51-8099",3.06628828828829,2.25555555555556,2.86666666666667,2.70805555555556,3.06333333333333,3.26333333333333,0.263333333333333,3.20666666666667,3.08333333333333,2.46,2.58333333333333,2.58,2.91666666666667
"51-9011",2.95048648648649,1.93111111111111,2.901,2.4075,2.88,3.47,0.25,3,3,1.62,2.25,1.88,2.62
"51-9012",2.59010810810811,2.33111111111111,2.749,2.605,1.81,3.03,0.05,3,3,2,2.12,2.12,2.62
"51-9021",2.58264864864865,2.33222222222222,3.024,2.69833333333333,2.7,2.51,0.12,3.12,3.38,2.12,2.12,2.88,2.62
"51-9022",2.46005405405405,1.91777777777778,2.9,2.24,2.27,2.72,1.29,3.62,3.38,2,2,2,2.25
"51-9023",2.49686486486487,1.90111111111111,2.924,2.41916666666667,2.52,1.94,0.21,3.12,3.38,2.12,2,2.12,2.75
"51-9031",1.81832432432432,1.65222222222222,2.399,1.625,2.56,1.04,0.08,3.12,3.12,2,1.75,2,2.75
"51-9032",2.45297297297297,2.02666666666667,3.112,2.10583333333333,2.46,2.35,0.11,3.62,3.38,1.62,2,1.62,2.5
"51-9041",2.5152972972973,2.20888888888889,3,2.25083333333333,2.54,2.84,0.58,3.25,3.12,1.5,2,1.75,2.12
"51-9051",2.46740540540541,2.05444444444444,2.688,1.91833333333333,2.82,2.53,0.19,2.88,2.88,1.88,1.12,1.5,2.12
"51-9061",2.34345945945946,1.15444444444444,2.012,1.76833333333333,2.06,1.68,0.08,3,2.75,1.5,2,2.12,2.25
"51-9071",2.40246846846847,0.272592592592593,2.76766666666667,1.95583333333333,1.37666666666667,1.24666666666667,1.66,4.62666666666667,3.54666666666667,2.33666666666667,2.87333333333333,2.79333333333333,2.33333333333333
"51-9081",2.58713513513514,0.318888888888889,2.4,1.76083333333333,1.59,1.36,3.44,4,3,1.88,2.5,2,2.25
"51-9082",2.92037837837838,1.74777777777778,2.6,2.13666666666667,3.92,2.09,1.3,3.62,3.25,2.12,3,2.38,3
"51-9083",2.31421621621622,1.05444444444444,3.002,1.89583333333333,2.31,1.63,0.24,3.75,3.38,1.62,1.88,2,2.5
"51-9111",2.54464864864865,2.09888888888889,3.036,2.28,2.57,2.56,0.57,3.38,3.5,2,2.25,2.12,2.62
"51-9121",2.32427027027027,2.29,2.875,2.52333333333333,1.53,1.69,0.03,3,3.25,1.88,2.12,2.12,2.12
"51-9122",2.44886486486486,2.06777777777778,2.638,2.31166666666667,2.24,3.3,0.28,3.25,3.25,1.62,1.88,1.75,2.38
"51-9123",1.94632432432432,1.58333333333333,1.889,1.76083333333333,2.45,2.08,1.35,3,2.88,1.88,2,2,2.75
"51-9141",2.47875675675676,1.57111111111111,2.716,2.02333333333333,3.18,2.69,0.1,3.63,3.13,1.88,2.13,2.12,2.75
"51-9151",2.46437837837838,1.83333333333333,2.151,1.9475,2.11,2.39,1.5,2.88,2.75,2.62,2.75,2.75,3
"51-9191",2.48021621621622,2.44333333333333,2.963,2.32166666666667,2.39,2.92,0.38,3.12,3,1.62,1.75,1.88,2.38
"51-9192",2.23762162162162,2,2.476,1.96833333333333,2.33,2.49,0.09,2.88,2.88,2,1.5,2,2.12
"51-9193",2.72935135135135,2.13777777777778,2.735,2.335,2.43,2.58,0,3.12,3.12,2,2.38,2,2.38
"51-9194",2.3867027027027,1.44555555555556,2.601,1.9975,2.64,2.19,1.95,3.62,3.38,1.75,2.5,2,2.25
"51-9195",2.44017567567568,1.99972222222222,2.93025,2.17708333333333,2.045,2.0225,1.93,3.4975,3.5275,1.72,2.75,2,2.6225
"51-9196",2.39313513513514,1.91777777777778,2.55,1.99166666666667,3.05,3.22,0.02,3,3,2.12,2.12,2.12,2.5
"51-9197",2.22448648648649,2.29444444444444,3.129,2.20083333333333,1.61,2.3,0.21,3.13,3.5,1.88,1.88,1.75,2
"51-9198",2.18702702702703,2.20777777777778,2.7,2.01083333333333,2.6,2.9,0.33,3,3.12,1,1.62,1.38,2
"51-9199",2.53302702702703,2.04333333333333,3.138,2.36416666666667,2.2,2.49,0.59,3.12,3.38,1.5,1.88,1.5,2.62
"53-1011",3.16378378378378,2.30555555555556,2.661,2.65666666666667,2.8,2.67,0.42,2.75,3.12,2.5,3,2.75,3.25
"53-1021",2.90748648648649,1.10888888888889,1.8945,2.04208333333333,2.645,2.205,0.25,2.44,2.38,3.19,2.75,3.315,3.37
"53-1031",2.96562162162162,1.19444444444444,2.025,2.34416666666667,3.7,2.09,0.05,2.38,2.12,3,3.12,3.12,3.38
"53-2011",3.36627027027027,1.12444444444444,3.911,3.94916666666667,2.69,3.29,0.84,3.12,3.12,2.75,3.12,2.75,3.38
"53-2012",3.164,1.38888888888889,3.337,3.52083333333333,3.94,3.81,0.05,3.12,3,2.62,3,3,3
"53-2021",2.88264864864865,0.137777777777778,1.326,2.84416666666667,2.33,1.29,0.27,3,2,2.25,3.5,2.88,3.25
"53-2022",3.04005405405405,0.723333333333333,1.724,2.59416666666667,2.99,2.12,0.09,2.25,2.12,3,3.12,3.12,3
"53-2031",2.65297297297297,2.22111111111111,1.876,2.05166666666667,4.98,4.26,0.47,2.62,2.62,2.62,2,2.75,3.25
"53-3011",2.80140540540541,2.18222222222222,2.835,2.4675,4.9,3.39,0.33,3,3,2.62,2.38,2.62,3.12
"53-3021",2.3152972972973,1.23555555555556,2.75,2.83416666666667,3.74,2,0.47,2.12,2.12,1.62,1.75,1.75,2.38
"53-3022",2.28956756756757,0.955555555555556,2.451,2.86416666666667,3.3,2.01,0.57,2.62,2.25,2.12,2,2.62,3
"53-3031",2.25345945945946,1.69333333333333,2.437,2.2925,2.29,1.75,0.03,2.75,2.75,2.88,2.25,2.88,2.5
"53-3032",2.65983783783784,2.13888888888889,3.313,2.98083333333333,2.55,2.72,0.01,2.75,3,2,2.25,2,2.38
"53-3033",2.26594594594595,1.98444444444444,2.625,2.50083333333333,2.68,2.74,0,2.38,2.88,1.62,1.75,1.88,2.25
"53-3041",2.37524324324324,1.55444444444444,2.726,2.86666666666667,3.61,1.7,0.3,2.88,2.88,2.12,2.12,2.12,2.88
"53-4011",2.79891891891892,1.63777777777778,3.376,3.11583333333333,2.84,3.47,0,3,3,1.75,2,1.75,2.62
"53-4012",2.56140540540541,1.83111111111111,3.201,3.0225,2.15,2.85,0.05,2.75,3.38,2.12,2.12,2.12,2.62
"53-4013",2.69454054054054,2.11222222222222,3.065,2.92916666666667,2.61,2.79,0.18,2.38,2.88,1.75,2.13,1.88,2.25
"53-4021",2.64351351351351,2.35,2.977,2.66916666666667,2.52,3.57,0.04,3,3,1.75,2.13,2.12,2.12
"53-4031",2.70745945945946,1.86111111111111,2.7,2.885,2.79,2.8,0.57,2.75,2.62,2.12,2.75,3,3
"53-4041",2.53367567567568,1.68222222222222,3.228,3.0125,3.39,2.22,0.17,2.63,3,2.25,1.88,2.25,2.62
"53-5011",2.82102702702703,2.66777777777778,3.086,3.33583333333333,3.15,3.63,0.04,3.12,3.12,2.5,2.25,2.62,2.88
"53-5021",3.16308108108108,1.77296296296296,3.02466666666667,3.35444444444444,3.24333333333333,2.92,0.11,2.91666666666667,3,2.58666666666667,2.96,2.74666666666667,3
"53-5022",2.83091891891892,2.11333333333333,3.178,3.15916666666667,3.98,2.75,0,3.25,3.25,2.38,2.5,2.25,2.88
"53-5031",3.06308108108108,2.13888888888889,2.864,2.59583333333333,3.04,3.91,0,3.25,3.25,2,3.12,2.12,2.75
"53-6011",2.29935135135135,1.62777777777778,2.615,2.71083333333333,2.81,1.38,0.21,2.5,2.5,2.25,2,2.38,2.38
"53-6021",2.0912972972973,1.91444444444444,2.236,2.44916666666667,2.8,1.37,0.43,2.5,2.5,2,1.75,1.75,2.38
"53-6031",2.682,2.18111111111111,2.623,2.37666666666667,3.1,2.99,0.01,3.12,3,2.12,1.88,2.25,2.25
"53-6041",2.75978378378378,0.776666666666667,1.912,2.36416666666667,1.86,1.61,0.17,2.62,2.25,2.88,3,2.88,3
"53-6051",2.81443243243243,1.50851851851852,2.23733333333333,2.48333333333333,1.89666666666667,2.86333333333333,0.196666666666667,2.83333333333333,2.58333333333333,2.29333333333333,2.46,2.46,2.91666666666667
"53-6061",1.99102702702703,1.87555555555556,1.624,2.04333333333333,3.87,1.82,0.29,1.88,2,2.12,2.12,2.75,3.12
"53-7011",2.51264864864865,2.05555555555556,2.811,2.53166666666667,3.38,2.15,0.01,3,3.12,2.12,2.12,2.12,2.62
"53-7021",2.67356756756757,1.83222222222222,3.324,2.98916666666667,2.22,2.82,0.19,3,3.12,2,2.12,2,2
"53-7031",2.24643243243243,1.71,3.05,2.54083333333333,1.75,2.13,0.15,2.88,2.88,1.88,1.75,2,2.38
"53-7032",2.72454054054054,2.15444444444444,3.523,3.1875,3.36,2.62,0.06,3.12,3.12,2.25,2.12,2.75,2.62
"53-7033",2.35659459459459,2.19555555555556,3.075,2.51,1.62,4.06,0,2.88,3.5,1.88,1.25,1.88,2.25
"53-7041",2.64151351351351,1.98888888888889,2.94,2.51333333333333,3.1,4.2,0.09,2.75,2.75,2.12,2.13,2.25,2.25
"53-7051",2.50740540540541,2.16444444444444,3.051,2.59416666666667,3.08,3.17,0.53,2.88,3.12,1.5,1.75,1.62,1.88
"53-7061",1.97881081081081,1.72333333333333,2.188,1.52083333333333,1.75,2.69,0.59,2.25,2.75,0.88,0.62,1.12,2
"53-7062",2.14718918918919,2.52777777777778,2.711,2.19666666666667,1.58,2.52,0.12,2.88,3,1.62,1.75,1.75,2.12
"53-7063",2.12637837837838,2.02777777777778,2.775,1.90666666666667,2.35,1.92,0.27,2.88,3,1.62,1.75,1.88,2.12
"53-7064",2.158,1.90333333333333,1.999,1.4575,3.58,1.73,0.6,2.62,3.5,1,1,1,1.62
"53-7071",2.91043243243243,1.82111111111111,2.847,2.40666666666667,2.15,2.81,0.17,3.12,3.12,2.12,2.12,2.12,2.38
"53-7072",2.87756756756757,2.09888888888889,2.89,2.5225,2.39,3,0,3,3.13,1.88,2.13,2.38,2.12
"53-7073",2.67735135135135,2.36111111111111,2.788,1.9575,2.97,3.23,0.06,2.88,3,1,1.75,1.25,2.12
"53-7081",2.40124324324324,1.98666666666667,2.614,2.49083333333333,2.45,2.51,0,2.25,2.88,2.12,2,2.12,2.25
"53-7111",2.12232432432432,1.71111111111111,2.74,1.93083333333333,3.68,4.35,0.06,1.63,3,1.25,1.38,1.25,2.12
"53-7121",2.84864864864865,2.70888888888889,3.111,2.78083333333333,3.11,3.6,0.11,3.12,3.12,2.12,2.12,2.12,2.12
