"OCC_CODE","cognitive_abilities","physical_abilities","psychomotor_abilities","sensory_abilities","assisting_and_caring","cramped_work_space","fine_arts","finger_dexterity","manual_dexterity","Negotiation","Originality","Persuasion","social_perceptiveness"
"47-2061",2.64989189189189,2.72222222222222,2.801,2.44916666666667,2.11,3.31,0.73,3,3.75,2,2,2,2.25
"47-2071",2.57805405405405,2.06888888888889,2.911,2.43833333333333,2.48,2.08,0.42,2.5,2.62,1.62,1.62,2,1.88
"47-2072",2.69935135135135,1.98444444444444,3.214,2.61416666666667,2.19,3.2,0.06,2.88,3,1.62,1.88,1.62,2
"47-2073",2.61432432432432,1.55555555555556,3.113,2.67666666666667,2,2.49,0.06,2.88,3.12,1.5,2,1.75,2.25
"47-2081",2.38048648648649,2.69444444444444,2.601,2.0325,2.25,3.09,0,3.25,3.25,1.5,2.12,1.62,2.25
"47-2082",2.03508108108108,2.22222222222222,1.999,1.79083333333333,2.18,3.33,0,2.88,3,1.75,1.5,2,2.12
"47-2111",3.07075675675676,2.41666666666667,2.799,2.74916666666667,2.44,3.67,0.12,3.38,3.12,2.38,2.88,2.88,2.88
"47-2121",2.47605405405405,2.18,2.423,2.09416666666667,2.01,3.03,0.06,3.12,3,1.38,1.75,1.5,2.62
"47-2131",2.36,2.65333333333333,2.562,2.2925,1.8,3.78,0,2.88,3.12,2,2.12,2.12,2.25
"47-2132",2.66291891891892,2.22333333333333,2.452,2.16916666666667,2.83,4.41,0.48,3,3,2,2.25,1.88,2.62
"47-2141",2.53491891891892,2.29333333333333,2.45,2.07166666666667,3.29,3.13,0.6,3,3,1.88,2,2,2.75
"47-2142",2.27481081081081,2.40333333333333,2.349,1.9075,1.57,2.83,0.46,3.12,3.25,1.62,1.75,1.88,2.12
"47-2151",2.71935135135135,2.34777777777778,2.623,2.32166666666667,2.47,3.39,0.28,3,3,2,2,2,2.62
"47-2152",2.84,2.34666666666667,2.8695,2.4475,2.16,3.92,0.235,3.38,3.31,2.5,2.88,2.56,2.685
"47-2161",2.51648648648649,2.69333333333333,2.775,2.1975,3.16,2.38,0.63,3,3.5,2.12,2.12,2.12,2.12
"47-2171",2.52162162162162,2.87444444444444,2.987,2.18916666666667,2.42,3.24,0.11,3.12,3.38,1.62,2,1.62,2.12
"47-2181",2.75275675675676,2.90222222222222,2.81,2.30166666666667,2.93,3.05,0.14,3.12,3.12,1.75,2.25,1.88,2.5
"47-2211",2.72437837837838,2.40111111111111,2.937,2.32416666666667,3.03,3.48,0.08,3.12,3.25,1.62,2.25,1.75,2
"47-2221",2.69589189189189,3.12555555555556,3.526,3.02083333333333,2.19,3.86,0,3.88,3.88,2,2.5,2.12,2.75
