,OCC_CODE,cognitive_abilities,physical_abilities,psychomotor_abilities,sensory_abilities,assisting_and_caring,cramped_work_space,fine_arts,finger_dexterity,manual_dexterity,Negotiation,Originality,Persuasion,social_perceptiveness,GP_pred_0,GP_pred_1,prob_class_new
701,51-9023,2.49686486486487,1.90111111111111,2.924,2.41916666666667,2.52,1.94,0.21,3.12,3.38,2.12,2.0,2.12,2.75,0.13663866615308962,0.8633613338469104,1) High
702,51-9031,1.81832432432432,1.65222222222222,2.399,1.625,2.56,1.04,0.08,3.12,3.12,2.0,1.75,2.0,2.75,0.07783160017186219,0.9221683998281378,1) High
703,51-9032,2.45297297297297,2.02666666666667,3.112,2.1058333333333303,2.46,2.35,0.11,3.62,3.38,1.62,2.0,1.62,2.5,0.09265810505326044,0.9073418949467396,1) High
704,51-9041,2.5152972972973,2.20888888888889,3.0,2.2508333333333304,2.54,2.84,0.58,3.25,3.12,1.5,2.0,1.75,2.12,0.12560910027957561,0.8743908997204244,1) High
705,51-9051,2.4674054054054104,2.05444444444444,2.688,1.9183333333333301,2.82,2.53,0.19,2.88,2.88,1.88,1.12,1.5,2.12,0.04841873516772921,0.9515812648322708,1) High
706,51-9061,2.34345945945946,1.15444444444444,2.012,1.7683333333333302,2.06,1.68,0.08,3.0,2.75,1.5,2.0,2.12,2.25,0.05647891674834682,0.9435210832516532,1) High
707,51-9071,2.40246846846847,0.272592592592593,2.76766666666667,1.9558333333333302,1.3766666666666698,1.24666666666667,1.66,4.62666666666667,3.54666666666667,2.33666666666667,2.87333333333333,2.7933333333333303,2.3333333333333304,0.3118368575678687,0.6881631424321313,1) High
708,51-9081,2.58713513513514,0.318888888888889,2.4,1.7608333333333301,1.59,1.36,3.44,4.0,3.0,1.88,2.5,2.0,2.25,0.3795076593107467,0.6204923406892533,1) High
709,51-9082,2.92037837837838,1.74777777777778,2.6,2.13666666666667,3.92,2.09,1.3,3.62,3.25,2.12,3.0,2.38,3.0,0.7248901557787804,0.27510984422121965,3) Low
710,51-9083,2.31421621621622,1.05444444444444,3.002,1.8958333333333302,2.31,1.63,0.24,3.75,3.38,1.62,1.88,2.0,2.5,0.08206196081039252,0.9179380391896075,1) High
711,51-9111,2.54464864864865,2.0988888888888897,3.036,2.28,2.57,2.56,0.57,3.38,3.5,2.0,2.25,2.12,2.62,0.22775193768586632,0.7722480623141337,1) High
712,51-9121,2.32427027027027,2.29,2.875,2.5233333333333303,1.53,1.69,0.03,3.0,3.25,1.88,2.12,2.12,2.12,0.06468878392342958,0.9353112160765704,1) High
713,51-9122,2.4488648648648597,2.06777777777778,2.638,2.3116666666666696,2.24,3.3,0.28,3.25,3.25,1.62,1.88,1.75,2.38,0.12100148538002031,0.8789985146199797,1) High
714,51-9123,1.94632432432432,1.5833333333333302,1.889,1.7608333333333301,2.45,2.08,1.35,3.0,2.88,1.88,2.0,2.0,2.75,0.22661267225748816,0.7733873277425118,1) High
715,51-9141,2.4787567567567597,1.5711111111111102,2.716,2.0233333333333303,3.18,2.69,0.1,3.63,3.13,1.88,2.13,2.12,2.75,0.19446714401215104,0.805532855987849,1) High
716,51-9151,2.46437837837838,1.8333333333333302,2.151,1.9475,2.11,2.39,1.5,2.88,2.75,2.62,2.75,2.75,3.0,0.5448737894033826,0.4551262105966174,2) Medium
717,51-9191,2.4802162162162205,2.4433333333333302,2.963,2.32166666666667,2.39,2.92,0.38,3.12,3.0,1.62,1.75,1.88,2.38,0.09838323572921581,0.9016167642707842,1) High
718,51-9192,2.2376216216216203,2.0,2.476,1.9683333333333302,2.33,2.49,0.09,2.88,2.88,2.0,1.5,2.0,2.12,0.047346723022087644,0.9526532769779124,1) High
719,51-9193,2.72935135135135,2.1377777777777798,2.735,2.335,2.43,2.58,0.0,3.12,3.12,2.0,2.38,2.0,2.38,0.13188421828954233,0.8681157817104577,1) High
720,51-9194,2.3867027027027,1.44555555555556,2.6010000000000004,1.9975,2.64,2.19,1.95,3.62,3.38,1.75,2.5,2.0,2.25,0.3772387113996558,0.6227612886003442,1) High
721,51-9195,2.44017567567568,1.99972222222222,2.93025,2.1770833333333304,2.045,2.0225,1.93,3.4975,3.5275,1.72,2.75,2.0,2.6225,0.4191195363338238,0.5808804636661762,2) Medium
722,51-9196,2.39313513513514,1.91777777777778,2.55,1.9916666666666698,3.05,3.22,0.02,3.0,3.0,2.12,2.12,2.12,2.5,0.2041321045995801,0.7958678954004199,1) High
723,51-9197,2.2244864864864904,2.29444444444444,3.1289999999999996,2.20083333333333,1.61,2.3,0.21,3.13,3.5,1.88,1.88,1.75,2.0,0.06400624934212829,0.9359937506578717,1) High
724,51-9198,2.18702702702703,2.2077777777777796,2.7,2.01083333333333,2.6,2.9,0.33,3.0,3.12,1.0,1.62,1.38,2.0,0.10226070030807932,0.8977392996919207,1) High
725,51-9199,2.5330270270270296,2.0433333333333303,3.138,2.36416666666667,2.2,2.49,0.59,3.12,3.38,1.5,1.88,1.5,2.62,0.13041234091122078,0.8695876590887792,1) High
726,53-1011,3.1637837837837797,2.30555555555556,2.661,2.65666666666667,2.8,2.67,0.42,2.75,3.12,2.5,3.0,2.75,3.25,0.7063411039581524,0.2936588960418476,3) Low
727,53-1021,2.90748648648649,1.10888888888889,1.8945,2.04208333333333,2.645,2.205,0.25,2.44,2.38,3.19,2.75,3.315,3.37,0.6311724642027343,0.3688275357972657,2) Medium
728,53-1031,2.96562162162162,1.19444444444444,2.025,2.34416666666667,3.7,2.09,0.05,2.38,2.12,3.0,3.12,3.12,3.38,0.7965628783198326,0.20343712168016737,3) Low
729,53-2011,3.3662702702702703,1.12444444444444,3.911,3.94916666666667,2.69,3.29,0.84,3.12,3.12,2.75,3.12,2.75,3.38,0.7682086708243787,0.23179132917562129,3) Low
730,53-2012,3.1639999999999997,1.38888888888889,3.3369999999999997,3.5208333333333304,3.94,3.81,0.05,3.12,3.0,2.62,3.0,3.0,3.0,0.7875907443506094,0.21240925564939062,3) Low
731,53-2021,2.88264864864865,0.13777777777777803,1.3259999999999998,2.84416666666667,2.33,1.29,0.27,3.0,2.0,2.25,3.5,2.88,3.25,0.51690216739539,0.48309783260461003,2) Medium
732,53-2022,3.0400540540540497,0.7233333333333329,1.724,2.59416666666667,2.99,2.12,0.09,2.25,2.12,3.0,3.12,3.12,3.0,0.6581857890852234,0.3418142109147766,2) Medium
733,53-2031,2.6529729729729703,2.2211111111111097,1.876,2.05166666666667,4.98,4.26,0.47,2.62,2.62,2.62,2.0,2.75,3.25,0.7379488404025096,0.26205115959749037,3) Low
734,53-3011,2.80140540540541,2.18222222222222,2.835,2.4675,4.9,3.39,0.33,3.0,3.0,2.62,2.38,2.62,3.12,0.7509527483594525,0.24904725164054753,3) Low
735,53-3021,2.3152972972973,1.23555555555556,2.75,2.83416666666667,3.74,2.0,0.47,2.12,2.12,1.62,1.75,1.75,2.38,0.1609585505375435,0.8390414494624565,1) High
736,53-3022,2.2895675675675697,0.9555555555555559,2.451,2.86416666666667,3.3,2.01,0.57,2.62,2.25,2.12,2.0,2.62,3.0,0.27006730113305366,0.7299326988669463,1) High
737,53-3031,2.25345945945946,1.6933333333333302,2.437,2.2925,2.29,1.75,0.03,2.75,2.75,2.88,2.25,2.88,2.5,0.1523213296530912,0.8476786703469088,1) High
738,53-3032,2.6598378378378396,2.1388888888888897,3.313,2.9808333333333303,2.55,2.72,0.01,2.75,3.0,2.0,2.25,2.0,2.38,0.14451298869403217,0.8554870113059678,1) High
739,53-3033,2.2659459459459503,1.98444444444444,2.625,2.5008333333333304,2.68,2.74,0.0,2.38,2.88,1.62,1.75,1.88,2.25,0.10773967589739186,0.8922603241026081,1) High
740,53-3041,2.37524324324324,1.55444444444444,2.7260000000000004,2.86666666666667,3.61,1.7,0.3,2.88,2.88,2.12,2.12,2.12,2.88,0.25722513307636063,0.7427748669236394,1) High
