,OCC_CODE,cognitive_abilities,physical_abilities,psychomotor_abilities,sensory_abilities,assisting_and_caring,cramped_work_space,fine_arts,finger_dexterity,manual_dexterity,Negotiation,Originality,Persuasion,social_perceptiveness,GP_pred_0,GP_pred_1,prob_class_new
30,11-9151,2.9851891891891897,0.264444444444444,0.637,1.8433333333333302,4.7,1.09,0.79,1.88,0.62,3.75,3.75,3.75,4.62,0.9601401967239553,0.03985980327604466,3) Low
31,11-9161,3.3515135135135097,0.37555555555555603,1.275,2.1475,4.12,1.6,0.48,1.12,0.88,3.5,3.88,3.88,3.88,0.9598107014015795,0.040189298598420464,3) Low
32,11-9199,3.0565165165165196,0.599259259259259,0.773,1.89814814814815,2.76444444444444,1.61,0.21,1.64111111111111,0.7511111111111108,3.4566666666666697,3.4022222222222203,3.62333333333333,3.65333333333333,0.7880640239403647,0.21193597605963532,3) Low
33,13-1011,2.6001621621621602,0.111111111111111,0.601,1.6591666666666698,3.33,1.01,3.75,1.88,1.0,4.0,3.25,4.12,3.25,0.8743525353331734,0.12564746466682664,3) Low
34,13-1021,2.8657837837837796,0.68,0.7759999999999999,1.7908333333333302,2.29,1.25,0.39,2.0,1.38,3.62,3.0,3.75,3.12,0.5700354224724151,0.4299645775275849,2) Medium
35,13-1022,2.64281081081081,0.6811111111111109,0.75,1.635,2.8,1.6,0.03,2.0,1.5,4.0,3.12,4.0,3.5,0.7788222037095238,0.22117779629047618,3) Low
36,13-1023,2.8612972972973,0.0966666666666667,0.175,1.3875,2.65,1.09,0.32,0.75,0.38,4.0,3.0,4.0,3.5,0.6897415771576334,0.3102584228423666,2) Medium
37,13-1031,2.6455135135135097,0.0972222222222222,0.5745,1.72416666666667,2.63,1.265,0.225,2.065,1.12,3.685,2.5,3.19,3.19,0.2792493317856497,0.7207506682143503,1) High
38,13-1032,2.6525945945945897,0.626666666666667,1.064,2.125,3.24,2.62,0.0,1.5,1.38,2.88,2.62,2.88,3.0,0.4764661091294258,0.5235338908705742,2) Medium
39,13-1041,2.92088288288288,0.900555555555556,1.27466666666667,2.29708333333333,2.485,2.00666666666667,0.28,2.27,1.415,3.1666666666666696,3.105,3.415,3.64333333333333,0.677160717694278,0.322839282305722,2) Medium
40,13-1051,2.86302702702703,0.15222222222222198,0.25,1.6041666666666698,1.43,1.59,0.29,1.25,0.25,3.38,3.0,3.75,3.0,0.35909634998694173,0.6409036500130583,1) High
41,13-1071,2.48989189189189,0.166666666666667,0.314,1.3966666666666698,3.66,1.14,0.02,1.38,0.5,3.0,3.12,3.0,3.88,0.6480120445875741,0.3519879554124259,2) Medium
42,13-1074,2.38189189189189,1.4288888888888898,2.189,2.2175,2.8,1.2,0.38,1.5,2.5,3.0,2.0,2.88,3.0,0.34225675998874294,0.6577432400112571,1) High
43,13-1075,2.83145945945946,0.18,0.11199999999999999,1.5516666666666699,2.9,1.3,0.55,0.0,0.0,4.25,3.75,4.25,3.88,0.8853381913668272,0.11466180863317277,3) Low
44,13-1081,3.0676036036036,0.101851851851852,0.4326666666666671,1.74666666666667,1.95,1.6066666666666698,0.38,2.25,0.58,3.04,3.92,3.29,3.3333333333333304,0.6597177374870853,0.3402822625129147,2) Medium
45,13-1111,3.02335135135135,0.111111111111111,0.187,1.3641666666666699,3.04,1.36,0.68,1.12,0.0,3.0,3.5,3.5,3.75,0.7880157040798395,0.21198429592016055,3) Low
46,13-1121,3.0471351351351403,1.3188888888888899,1.1740000000000002,1.8733333333333302,3.86,1.52,2.2,2.0,2.0,3.62,3.62,3.5,3.75,0.9693348414843967,0.030665158515603252,3) Low
47,13-1131,2.67897297297297,0.0277777777777778,0.536,1.6783333333333301,2.84,1.19,0.66,2.25,0.12,3.62,3.5,4.38,4.0,0.8478081716257293,0.1521918283742707,3) Low
48,13-1141,2.662,0.111111111111111,0.313,1.53,2.04,1.17,0.83,1.5,0.5,3.12,3.25,3.5,3.75,0.6680278218896092,0.3319721781103908,2) Medium
49,13-1151,2.82740540540541,0.20888888888888898,0.29600000000000004,1.8016666666666699,2.69,1.17,1.0,2.12,0.12,3.38,3.88,3.25,4.12,0.8365491685922279,0.16345083140777206,3) Low
50,13-1161,2.8351351351351406,0.124444444444444,0.237,1.6558333333333302,1.22,1.22,0.68,1.75,0.12,2.75,3.38,3.25,3.38,0.3651049861920228,0.6348950138079772,1) High
51,13-1199,2.84833333333333,0.351481481481482,0.612833333333333,1.81055555555556,2.15,1.705,0.47666666666666707,1.8533333333333302,0.561666666666667,3.06,3.2933333333333303,3.27,3.1883333333333304,0.4893635830348586,0.5106364169651414,2) Medium
52,13-2011,2.68975675675676,0.0833333333333333,0.275,1.5825,2.485,1.205,0.095,1.435,0.19,3.065,3.19,3.31,3.125,0.38385463411250953,0.6161453658874905,1) High
53,13-2021,2.61202702702703,0.5416666666666671,1.1125,1.96333333333333,2.1,1.605,0.275,1.94,1.25,2.69,2.75,2.75,2.935,0.1986480773682615,0.8013519226317385,1) High
54,13-2031,2.49281081081081,0.0966666666666667,0.124,1.5,1.99,1.11,0.07,1.12,0.0,2.75,2.88,2.88,3.0,0.17467853642051523,0.8253214635794848,1) High
55,13-2041,2.4009729729729705,0.0133333333333333,0.599,1.72,1.6,1.0,0.23,2.5,1.12,3.12,2.75,3.12,2.75,0.11405420301343838,0.8859457969865616,1) High
56,13-2051,2.5797837837837796,0.138888888888889,0.2,1.4166666666666698,0.66,1.11,0.17,1.38,0.0,2.38,3.12,3.25,2.88,0.16630962686292605,0.833690373137074,1) High
57,13-2052,2.74789189189189,0.0277777777777778,0.2,1.4583333333333302,3.29,1.0,0.5,1.88,0.0,2.88,3.0,3.62,3.38,0.49868030759278037,0.5013196924072196,2) Medium
58,13-2053,2.37681081081081,0.0966666666666667,0.45,1.3958333333333302,1.23,1.0,0.27,1.62,0.75,2.88,2.75,2.75,3.0,0.12497316042004059,0.8750268395799594,1) High
59,13-2061,2.70502702702703,0.0133333333333333,0.175,1.6866666666666699,1.8,1.4,0.0,1.75,0.0,3.25,3.5,3.38,3.75,0.48464881906778956,0.5153511809322104,2) Medium
60,13-2071,2.3765405405405398,0.10388888888888902,0.3375,1.4220833333333303,2.615,1.045,0.095,1.625,0.25,3.185,3.125,3.31,3.56,0.44666997408462805,0.553330025915372,2) Medium
61,13-2072,2.44075675675676,0.0277777777777778,0.4,1.3541666666666698,2.33,1.01,0.13,1.75,0.62,3.12,2.12,3.12,3.0,0.09117674627759698,0.908823253722403,1) High
62,13-2081,2.57027027027027,0.0555555555555556,0.524,1.5833333333333302,2.31,1.59,0.23,2.12,1.0,3.0,2.75,3.12,3.0,0.22979220623494712,0.7702077937650529,1) High
63,13-2082,2.3732972972972997,0.0,0.563,1.3325,2.05,1.2,0.45,2.38,1.0,2.5,2.62,2.75,2.88,0.10657648366316153,0.8934235163368385,1) High
64,13-2099,2.8243963963964,0.10629629629629599,0.3586666666666671,1.62944444444444,1.8866666666666698,1.35,0.343333333333333,1.2933333333333301,0.4166666666666671,3.0833333333333304,3.3333333333333304,3.42,3.1666666666666696,0.4942336631544926,0.5057663368455074,2) Medium
65,15-1111,3.01572972972973,0.15333333333333302,0.937,1.5625,2.3,1.57,0.7,2.88,1.62,2.62,4.38,3.5,3.12,0.8675048447910285,0.13249515520897148,3) Low
66,15-1121,2.9294324324324306,0.111111111111111,0.8059999999999999,1.7916666666666698,2.675,1.5,0.145,2.625,1.5,2.935,3.815,3.25,3.25,0.7477631186013696,0.25223688139863043,3) Low
67,15-1122,2.75735135135135,0.26333333333333303,0.7490000000000001,1.5525,1.12,1.63,0.04,2.12,1.62,2.75,3.25,2.88,2.75,0.24576425716196582,0.7542357428380342,1) High
68,15-1131,2.5884864864864903,0.125555555555556,0.574,1.4791666666666698,1.86,1.05,1.37,1.88,1.0,2.12,3.25,2.75,3.0,0.44323816913264125,0.5567618308673588,2) Medium
69,15-1132,2.6224864864864905,0.0966666666666667,0.851,1.6358333333333301,1.98,1.2,0.01,2.75,1.75,2.75,3.88,3.0,3.0,0.5410513061785451,0.45894869382145487,2) Medium
70,15-1133,2.46437837837838,0.0133333333333333,0.586,1.4683333333333302,1.57,1.23,0.4,2.12,1.25,2.25,3.5,2.75,2.88,0.3288599238309189,0.6711400761690811,1) High
71,15-1134,2.58124324324324,0.166666666666667,0.9620000000000001,1.645,1.33,1.17,1.83,3.0,2.0,2.75,3.62,3.12,2.75,0.5826685125789197,0.4173314874210803,2) Medium
72,15-1141,2.7735675675675697,0.125555555555556,0.8370000000000001,1.6991666666666698,2.24,1.49,0.0,2.5,1.38,2.38,3.75,2.75,3.0,0.4607644042030472,0.5392355957969528,2) Medium
73,15-1142,2.86994594594595,0.362222222222222,1.663,1.8633333333333302,2.6,2.04,0.16,2.75,2.12,2.88,3.62,3.0,3.0,0.6885765899086209,0.3114234100913791,2) Medium
74,15-1143,3.03583783783784,0.854444444444444,1.1935,1.8958333333333302,2.025,2.21,0.02,2.56,2.185,2.94,3.375,3.13,3.125,0.582205596438655,0.417794403561345,2) Medium
75,15-1151,2.56545945945946,1.09666666666667,1.651,1.6241666666666699,2.33,2.11,0.03,3.12,2.5,2.5,3.0,2.5,2.75,0.2598750289716918,0.7401249710283082,1) High
76,15-1152,2.7274054054054098,0.32,1.237,1.7825,2.1,2.92,0.09,2.88,2.25,2.0,3.12,2.62,2.88,0.3700178206754856,0.6299821793245144,1) High
77,15-1199,2.76753603603604,0.12472222222222198,0.6565,1.61375,1.7358333333333302,1.2475,0.730833333333333,2.0616666666666696,1.22,2.82166666666667,3.49,3.0616666666666696,3.1675,0.5382490945464582,0.4617509054535418,2) Medium
78,15-2011,2.76951351351351,0.0688888888888889,0.162,1.6775,1.16,1.06,0.0,1.25,0.0,3.12,3.5,3.62,2.88,0.3381550231543997,0.6618449768456003,1) High
79,15-2021,2.77064864864865,0.0277777777777778,0.212,1.28083333333333,1.75,1.17,0.33,2.12,0.0,2.25,5.0,2.88,2.62,0.6075308050446324,0.3924691949553676,2) Medium
80,15-2031,2.74810810810811,0.124444444444444,0.125,1.29166666666667,1.4,1.0,0.0,1.0,0.0,2.62,4.0,2.88,3.0,0.4348341016169428,0.5651658983830572,2) Medium
81,15-2041,2.6696036036036,0.185925925925926,0.4416666666666671,1.4691666666666698,1.64,1.11666666666667,0.103333333333333,2.0,0.42,2.33666666666667,3.67,2.75,3.1666666666666696,0.29722330564862887,0.7027766943513711,1) High
82,15-2091,2.09327380952381,0.622222222222222,1.06,1.08333333333333,1.16,1.0,0.0,2.0,1.0,0.83,2.6,1.66,0.33,0.0799139140559646,0.9200860859440354,1) High
83,17-1011,3.43794594594595,0.0277777777777778,1.013,2.2075,2.33,1.44,3.93,2.75,1.88,3.75,4.38,3.88,3.5,0.9297022161418909,0.07029778385810914,3) Low
84,17-1012,3.14459459459459,0.0411111111111111,0.95,1.8233333333333301,2.21,1.14,3.18,2.38,1.62,3.25,3.88,3.5,3.62,0.8997230481525094,0.10027695184749064,3) Low
85,17-1021,2.64335135135135,0.305555555555556,1.162,1.8533333333333302,1.89,1.45,0.01,2.88,2.0,2.12,3.0,2.12,2.88,0.13642806922962336,0.8635719307703766,1) High
86,17-1022,3.30208108108108,1.465,2.1815,2.4633333333333303,2.035,2.045,0.505,2.935,2.565,2.565,3.0,2.63,2.875,0.35906148671404026,0.6409385132859597,1) High
87,17-2011,3.0188648648648595,0.0688888888888889,0.225,1.9675,1.58,1.41,0.25,2.0,0.0,3.0,4.12,3.12,3.12,0.5055949836351097,0.4944050163648903,2) Medium
88,17-2021,3.4104324324324304,0.554444444444444,1.1640000000000001,2.2291666666666696,2.62,1.92,0.46,2.25,0.88,3.0,3.5,3.12,3.25,0.6411349449075487,0.35886505509245126,2) Medium
89,17-2031,3.4098378378378396,0.19555555555555604,1.327,1.9366666666666699,2.43,1.48,0.45,2.88,1.75,3.0,4.75,3.5,3.5,0.939740810965759,0.06025918903424099,3) Low
90,17-2041,3.38297297297297,0.0977777777777778,0.737,2.07166666666667,1.86,1.81,0.19,1.88,0.12,3.0,4.12,3.12,3.12,0.5883284929003025,0.41167150709969746,2) Medium
91,17-2051,3.31975675675676,0.0622222222222222,0.5745,2.0304166666666696,2.42,1.705,0.395,2.0,0.565,3.185,3.94,3.565,3.315,0.7993383443763378,0.20066165562366223,3) Low
92,17-2061,2.88718918918919,0.0422222222222222,0.7859999999999999,1.6966666666666699,1.95,1.18,0.09,2.88,1.62,2.12,3.62,3.12,2.62,0.34560742034642544,0.6543925796535746,1) High
93,17-2071,2.9461081081081097,0.111111111111111,0.887,1.7908333333333302,2.65,1.46,0.1,2.38,1.75,2.88,3.38,2.88,3.12,0.552008780491164,0.447991219508836,2) Medium
94,17-2072,3.02702702702703,0.520555555555556,1.6880000000000002,1.90083333333333,1.765,1.535,0.305,2.88,2.44,2.935,3.5,3.19,3.06,0.5757105543996772,0.4242894456003228,2) Medium
95,17-2081,3.44402702702703,0.035,0.4315,1.96875,2.21,1.78,0.33,2.06,0.0,3.25,3.88,3.44,3.44,0.6691798050621856,0.33082019493781445,2) Medium
96,17-2111,3.2974954954955,0.49851851851851897,0.9159999999999999,2.21138888888889,3.00666666666667,2.09333333333333,0.47666666666666707,2.04,0.4133333333333329,2.9166666666666696,3.6666666666666696,3.12333333333333,3.12666666666667,0.6777617740224287,0.32223822597757135,2) Medium
97,17-2112,3.0711081081081097,0.0972222222222222,0.995,1.9425,2.325,1.75,0.285,2.25,0.25,2.815,3.69,3.25,3.25,0.52786249544166,0.47213750455834,2) Medium
98,17-2121,3.2731621621621603,1.07611111111111,1.511,2.31375,1.95,2.91,0.185,2.31,1.56,3.125,4.06,3.315,3.12,0.7911811138983467,0.20881888610165333,3) Low
99,17-2131,3.24616216216216,0.0277777777777778,1.2990000000000002,1.97083333333333,1.74,1.63,0.53,2.12,1.5,3.0,4.12,3.38,3.25,0.8208062533960856,0.1791937466039144,3) Low
100,17-2141,3.20376576576577,0.0555555555555556,1.459,2.19861111111111,2.1933333333333302,1.67,0.156666666666667,2.5433333333333303,1.6666666666666698,2.87666666666667,4.08333333333333,3.29,2.96,0.7492600349664826,0.25073996503351736,3) Low
101,17-2151,3.2423783783783797,0.138888888888889,0.488,2.0725,1.9,2.24,0.0,1.38,0.0,3.25,3.88,3.38,3.25,0.6215347676465797,0.37846523235342033,2) Medium
102,17-2161,3.2411891891891895,0.0833333333333333,0.687,1.9491666666666698,1.7,1.78,0.0,1.25,1.12,3.0,3.62,3.0,3.38,0.6119774170589665,0.38802258294103353,2) Medium
103,17-2171,3.04264864864865,0.0833333333333333,0.589,1.9791666666666698,1.2,1.43,0.04,2.38,0.38,3.5,3.62,3.12,3.62,0.38920566483466246,0.6107943351653375,1) High
104,17-2199,3.17200982800983,0.517575757575758,1.4991818181818202,2.0075,2.1872727272727297,1.8672727272727299,0.187272727272727,2.52363636363636,1.75,2.92181818181818,3.97454545454545,3.1263636363636405,3.19272727272727,0.7627607962326124,0.2372392037673876,3) Low
105,17-3011,2.67281081081081,0.166111111111111,1.0325,1.74333333333333,1.795,1.335,1.33,2.565,2.0,2.44,3.19,2.56,2.875,0.43434589151253533,0.5656541084874647,2) Medium
106,17-3012,2.38764864864865,0.0411111111111111,0.8935,1.5945833333333301,1.94,1.11,0.665,2.685,1.56,2.13,3.0,2.75,2.75,0.2086703638550489,0.7913296361449511,1) High
107,17-3013,2.62124324324324,0.138888888888889,1.113,1.8233333333333301,1.92,1.43,0.06,3.25,1.88,2.25,3.38,2.25,3.0,0.21627797257724524,0.7837220274227548,1) High
108,17-3021,2.98945945945946,0.9322222222222221,1.962,2.0416666666666696,2.01,3.35,0.0,3.0,3.0,2.62,3.0,2.88,3.0,0.5016021262785206,0.49839787372147937,2) Medium
109,17-3022,2.8221081081081096,0.18,1.276,1.99,1.89,1.78,0.54,2.38,1.88,2.75,2.88,2.38,2.88,0.23691577583161916,0.7630842241683808,1) High
110,17-3023,2.85789189189189,0.625,2.0865,1.9216666666666697,2.575,2.255,0.065,3.25,3.0,2.565,3.0,2.685,2.685,0.3872180563388383,0.6127819436611617,1) High
111,17-3024,2.9735675675675695,1.6266666666666698,3.056,2.5370833333333302,1.88,2.955,0.205,4.0,3.75,2.125,2.875,2.435,2.935,0.3400463997763268,0.6599536002236732,1) High
112,17-3025,2.9584864864864904,1.5833333333333302,2.388,2.3525,2.05,2.06,0.08,2.88,2.75,2.75,3.0,2.88,3.0,0.4065447592494422,0.5934552407505578,2) Medium
113,17-3026,2.96967567567568,0.667777777777778,1.814,1.9991666666666699,2.23,2.47,0.04,2.38,1.88,2.88,3.62,3.25,3.12,0.7070361907933602,0.2929638092066398,3) Low
114,17-3027,3.05394594594595,1.6233333333333302,2.53,2.45291666666667,2.0,2.65,0.245,3.06,2.75,2.315,3.25,2.685,2.75,0.43590627672311655,0.5640937232768835,2) Medium
115,17-3029,3.0587862407862403,1.07555555555556,2.3116363636363597,2.17272727272727,2.2709090909090897,2.17727272727273,0.23,3.25,2.85090909090909,2.5009090909090896,3.18181818181818,2.8636363636363598,2.92181818181818,0.479017931146295,0.520982068853705,2) Medium
116,17-3031,2.67762162162162,0.9922222222222221,2.0375,2.23916666666667,1.515,1.82,0.49,3.0,2.44,2.25,3.0,2.315,2.815,0.20823289724876304,0.791767102751237,1) High
117,19-1011,3.36945945945946,0.542222222222222,0.887,2.0325,2.59,2.0,0.07,1.5,0.12,2.88,3.5,3.0,3.38,0.5317606270578636,0.46823937294213636,2) Medium
118,19-1012,3.22372972972973,0.447777777777778,1.889,1.9366666666666699,1.76,1.69,0.52,3.0,1.75,3.5,3.62,3.5,3.38,0.6925047254923697,0.30749527450763026,2) Medium
119,19-1013,3.1982162162162204,0.9977777777777779,1.4480000000000002,2.11333333333333,2.33,1.7,0.15,2.62,1.88,2.62,4.12,3.12,3.0,0.7633388535309109,0.2366611464690891,3) Low
120,19-1020,3.25,0.846666666666667,1.324,2.1666666666666696,2.16,1.85,0.12,2.62,2.0,2.62,3.88,2.88,3.12,0.6762876666475108,0.32371233335248917,2) Medium
121,19-1021,3.18967567567568,0.305555555555556,1.639,2.11333333333333,1.77,1.59,0.0,2.88,2.38,2.38,4.62,3.25,3.5,0.8492202272119584,0.15077977278804156,3) Low
122,19-1022,3.1430810810810796,0.5133333333333329,2.1630000000000003,2.0425,1.74,1.22,0.13,3.62,2.88,2.75,4.62,2.75,3.25,0.7490304794436042,0.25096952055639576,3) Low
123,19-1023,3.1175675675675696,1.4433333333333302,1.8130000000000002,2.405,2.28,1.81,0.13,2.5,1.88,3.0,3.12,3.0,3.12,0.45038757458361545,0.5496124254163846,2) Medium
124,19-1029,3.0323423423423397,0.25962962962963,1.229,1.975,2.53333333333333,1.21333333333333,0.676666666666667,2.75,1.8766666666666698,2.87333333333333,4.33333333333333,3.1666666666666696,3.5833333333333304,0.9094962449751165,0.0905037550248835,3) Low
125,19-1031,3.1061261261261297,1.52962962962963,1.85966666666667,2.46555555555556,2.69666666666667,1.8266666666666698,0.943333333333333,2.12666666666667,1.92,3.0833333333333304,3.67,3.33666666666667,3.46,0.907266363809299,0.09273363619070096,3) Low
126,19-1032,3.1309189189189204,1.9433333333333302,2.063,2.55166666666667,2.88,1.62,0.33,2.0,2.12,3.75,4.0,3.38,3.38,0.9255296930000441,0.07447030699995594,3) Low
127,19-1041,2.9657837837837797,0.15333333333333302,0.23600000000000002,1.6891666666666698,1.9,1.13,0.07,1.62,0.12,3.25,3.88,3.5,3.88,0.6992735092479165,0.30072649075208346,2) Medium
128,19-1042,3.1567027027026997,0.0133333333333333,0.8109999999999999,1.9575,3.52,1.67,0.03,2.62,1.62,2.88,3.88,3.38,3.38,0.8728628202449045,0.12713717975509553,3) Low
129,19-2011,2.9402162162162204,0.0133333333333333,0.2,1.9275,1.39,1.41,0.09,2.0,0.0,2.75,4.0,2.75,3.25,0.37082096202183834,0.6291790379781617,1) High
130,19-2012,3.2550810810810797,0.0422222222222222,0.439,2.315,1.83,1.73,0.09,2.5,0.38,2.88,5.5,3.75,3.25,0.8912781074091072,0.10872189259089282,3) Low
131,19-2021,2.9072972972973,0.125555555555556,0.401,1.8741666666666699,2.05,1.35,0.2,1.25,0.88,2.88,3.0,3.12,3.25,0.40633745752566597,0.593662542474334,2) Medium
132,19-2031,3.0119459459459503,0.916666666666667,1.861,2.16583333333333,2.1,1.42,0.03,3.12,2.5,2.38,3.5,2.62,2.88,0.39455607352826405,0.605443926471736,1) High
133,19-2032,3.18297297297297,0.0277777777777778,1.3869999999999998,1.8858333333333301,1.91,1.62,0.13,2.12,1.88,2.88,4.0,3.12,3.0,0.7256277972367116,0.27437220276328844,3) Low
134,19-2041,3.0003108108108103,0.37888888888888894,0.85325,2.0322916666666697,1.7925,1.2475,0.28,1.56,0.845,2.94,3.685,3.375,3.375,0.6518114493962912,0.3481885506037088,2) Medium
135,19-2042,3.1875135135135095,0.833333333333333,1.45,2.17666666666667,2.32,1.92,1.0,2.12,1.38,2.88,3.25,3.38,2.88,0.6468383323057765,0.3531616676942235,2) Medium
136,19-2043,3.1961621621621603,1.15222222222222,1.236,1.9908333333333301,1.86,1.7,0.26,2.25,1.62,3.0,4.12,3.25,3.0,0.7572102312112179,0.2427897687887821,3) Low
137,19-2099,2.9090810810810797,0.18,0.8140000000000001,1.8133333333333301,1.64,1.29,0.32,2.38,1.88,2.75,3.62,2.88,3.0,0.494783557628395,0.505216442371605,2) Medium
138,19-3011,2.6902972972973003,0.0422222222222222,0.125,1.53625,0.915,1.065,0.21,1.065,0.0,2.875,3.56,3.56,3.13,0.4073972677681468,0.5926027322318532,2) Medium
139,19-3022,2.6945405405405403,0.0977777777777778,0.38799999999999996,1.5933333333333302,1.17,1.04,0.17,1.75,0.5,2.75,3.38,3.12,3.25,0.283727950695436,0.716272049304564,1) High
140,19-3031,2.7269909909909904,0.0744444444444444,0.162333333333333,1.5041666666666698,5.36666666666667,1.14,0.4,1.4566666666666699,0.0,3.46,3.7066666666666697,3.8333333333333304,5.20666666666667,0.9274749749640705,0.0725250250359295,3) Low
141,19-3032,3.0314594594594597,0.0133333333333333,0.175,1.6375,2.64,1.09,0.38,1.75,0.0,3.38,4.0,3.88,4.12,0.8774461655882533,0.12255383441174672,3) Low
142,19-3039,3.07659459459459,0.15333333333333302,0.6890000000000001,1.8125,5.69,1.35,0.15,1.88,1.75,3.0,3.75,3.62,5.38,0.9603365936561659,0.03966340634383414,3) Low
143,19-3041,2.7694594594594597,0.0966666666666667,0.075,1.4683333333333302,2.68,1.1,0.82,0.5,0.0,3.0,3.88,3.12,4.25,0.8353541746372457,0.1646458253627543,3) Low
144,19-3051,3.1392432432432402,0.0133333333333333,0.462,1.9991666666666699,2.43,1.17,2.11,2.12,0.0,3.38,4.0,3.88,3.62,0.8767627719181519,0.12323722808184812,3) Low
145,19-3091,3.1337297297297297,0.958333333333333,0.8675,2.04083333333333,2.455,2.22,1.655,2.25,1.435,2.625,3.875,3.06,3.625,0.8904305782767779,0.10956942172322215,3) Low
146,19-3092,2.8781081081081097,0.0833333333333333,0.124,1.8958333333333302,1.7,1.22,0.73,1.12,0.0,2.75,3.62,2.75,3.12,0.4484465576404517,0.5515534423595483,2) Medium
147,19-3093,2.6592972972972997,0.457777777777778,0.38799999999999996,1.5016666666666698,1.73,1.96,3.56,0.5,1.0,2.25,3.12,3.0,3.38,0.756806886174104,0.24319311382589603,3) Low
148,19-3094,2.63908108108108,0.0688888888888889,0.062,1.51,1.87,1.13,0.24,0.5,0.0,2.75,3.62,3.0,3.88,0.6091068599905611,0.39089314000943887,2) Medium
149,19-3099,2.9608648648648597,0.0833333333333333,0.313,1.9683333333333302,1.61,1.04,0.38,1.25,0.0,3.0,3.75,3.62,3.25,0.5778782011909414,0.42212179880905865,2) Medium
150,19-4011,2.88316216216216,1.01388888888889,2.033,2.145,2.54,2.235,0.37,2.94,2.63,2.37,2.69,2.37,3.0,0.30984540572910646,0.6901545942708935,1) High
151,19-4021,2.57972972972973,1.05666666666667,2.036,1.935,1.35,1.53,0.1,3.0,2.75,1.38,3.12,2.12,2.75,0.20069028679688472,0.7993097132031153,1) High
152,19-4031,2.7248648648648595,1.34888888888889,2.399,1.8741666666666699,2.88,1.92,0.0,3.12,2.88,2.62,3.0,2.25,3.0,0.3909662222769441,0.6090337777230559,1) High
153,19-4041,2.7074324324324306,1.25833333333333,1.9140000000000001,2.18333333333333,1.835,1.9,0.245,2.875,2.065,2.0,2.815,2.37,2.88,0.1551389539365573,0.8448610460634427,1) High
154,19-4051,3.0048648648648704,1.5283333333333302,2.3819999999999997,2.3695833333333303,2.71,3.21,0.0,2.94,2.44,2.435,2.56,2.435,2.63,0.256993830611691,0.743006169388309,1) High
155,19-4061,2.53181081081081,0.111666666666667,0.4125,1.5879166666666698,1.445,1.125,0.58,2.19,0.125,2.75,3.19,2.625,2.94,0.13826008048795302,0.861739919512047,1) High
156,19-4091,3.20854054054054,1.48444444444444,2.312,2.4875,2.32,2.52,0.18,2.75,2.62,3.0,3.0,3.12,3.12,0.5796590477782786,0.4203409522217214,2) Medium
157,19-4092,2.9702162162162202,1.26333333333333,2.325,2.75916666666667,2.34,2.4,0.0,3.0,2.75,2.25,3.38,3.12,3.38,0.6744840891838066,0.32551591081619335,2) Medium
158,19-4093,3.21194594594595,2.18222222222222,2.6510000000000002,2.61583333333333,3.39,2.18,0.35,3.0,3.0,2.38,2.88,3.12,3.12,0.7130967727761686,0.28690322722383144,3) Low
159,19-4099,2.82693693693694,0.81962962962963,1.98733333333333,2.02777777777778,1.7966666666666697,1.74333333333333,0.163333333333333,2.87666666666667,2.4566666666666697,2.62333333333333,3.1666666666666696,2.83666666666667,2.9166666666666696,0.34660490453973125,0.6533950954602687,1) High
160,21-1011,2.85162162162162,0.8888888888888891,0.46299999999999997,1.6983333333333301,4.92,1.52,1.08,1.25,0.0,3.12,3.25,3.88,4.88,0.9213648559629064,0.0786351440370936,3) Low
161,21-1012,2.7755135135135096,0.8622222222222221,0.489,1.5841666666666698,5.52,1.09,0.68,1.0,0.75,3.25,3.75,3.88,5.12,0.9579303493989073,0.04206965060109269,3) Low
162,21-1013,2.76464864864865,0.34777777777777796,0.312,1.6666666666666698,6.09,1.02,0.36,2.12,0.0,3.88,3.38,4.0,5.88,0.8957160296090478,0.10428397039095216,3) Low
163,21-1014,2.7744324324324303,0.42888888888888893,0.424,1.6758333333333302,5.93,1.12,1.01,2.12,0.0,3.62,4.0,4.38,5.5,0.9513661355484828,0.048633864451517184,3) Low
164,21-1015,2.5690810810810802,1.48666666666667,0.764,1.6991666666666698,4.3,1.52,0.21,2.38,0.0,3.38,3.5,3.75,4.88,0.8725765827663281,0.1274234172336719,3) Low
165,21-1021,2.8140540540540497,1.02666666666667,0.897,1.9883333333333302,5.34,1.39,0.95,1.25,0.12,4.0,3.38,3.88,4.62,0.9346591784164957,0.0653408215835043,3) Low
166,21-1022,2.88659459459459,0.9455555555555559,0.774,1.77,5.72,2.04,0.12,2.12,0.12,3.0,3.62,3.62,5.25,0.9049268544844153,0.09507314551558466,3) Low
167,21-1023,2.78697297297297,0.8488888888888891,0.488,1.7508333333333301,5.33,1.5,0.95,1.75,0.0,3.88,3.88,4.0,5.12,0.9591042105912493,0.040895789408750716,3) Low
168,21-1091,2.98135135135135,0.568888888888889,1.025,1.6991666666666698,4.65,1.72,0.34,1.88,1.75,3.12,3.38,3.25,3.88,0.9363302429562737,0.06366975704372635,3) Low
169,21-1092,2.66518918918919,1.09666666666667,1.125,1.385,3.4,1.42,0.16,1.5,1.0,3.38,3.12,3.88,4.5,0.8811886710285535,0.11881132897144653,3) Low
170,21-1093,2.71389189189189,1.19333333333333,1.4480000000000002,1.98,4.21,1.9,0.39,2.12,1.0,3.0,3.0,3.12,4.38,0.8375935302831294,0.16240646971687056,3) Low
